EmployeeID,Tenure,Department,Role,MonthlyHours,LastPromotion,Salary,Attrition,RiskPercentage,Driver1,Driver2,Driver3
EMP0042,45,Sales,Sales Manager,175,37,98364.27,0,40.8,Role Overload,LastPromotion,MonthlyHours
EMP0043,26,Operations,Operations Specialist,180,12,60377.98,0,40.4,Market Competitiveness,MonthlyHours,Salary
EMP0044,18,Finance,Accountant,158,6,62164.65,0,63.3,Tenure,Salary,Role Overload
EMP0045,5,Marketing,VP of Marketing,193,4,156625.45,0,67.7,MonthlyHours,Salary,Market Competitiveness
EMP0046,59,Sales,Account Executive,174,46,74952.01,0,58.9,Tenure,Role Overload,Market Competitiveness
EMP0047,27,Marketing,Marketing Specialist,195,0,67571.63,0,69.6,Market Competitiveness,Role Overload,Salary
EMP0048,5,HR,VP of HR,159,3,172458.89,0,35.1,Market Competitiveness,MonthlyHours,Tenure
EMP0049,22,Marketing,VP of Marketing,199,15,151383.19,1,45.1,Market Competitiveness,LastPromotion,Tenure
EMP0050,4,Engineering,Senior Engineer,176,0,80791.01,0,50.4,Role Overload,Market Competitiveness,MonthlyHours
EMP0051,50,Finance,Accountant,191,48,73473.2,0,71.2,Tenure,Salary,Market Competitiveness
EMP0052,28,Marketing,Marketing Specialist,178,22,71531.65,1,41.9,Role Overload,Market Competitiveness,LastPromotion
EMP0053,11,Engineering,Senior Engineer,160,0,100151.02,0,33.3,Tenure,MonthlyHours,Market Competitiveness
EMP0054,27,HR,HR Manager,176,4,98536.33,0,51.5,LastPromotion,MonthlyHours,Salary
EMP0055,85,Finance,Finance Manager,177,49,118596.71,0,55.5,Tenure,LastPromotion,Salary
EMP0056,22,Engineering,Senior Engineer,170,9,105870.91,1,45.3,MonthlyHours,Role Overload,Tenure
EMP0057,3,Engineering,Engineering Manager,175,1,108150.06,0,35.2,Salary,LastPromotion,Tenure
EMP0058,44,Finance,Financial Analyst,182,24,75110.08,0,30.9,MonthlyHours,LastPromotion,Market Competitiveness
EMP0059,7,Finance,Accountant,161,4,65364.03,0,34.4,MonthlyHours,Tenure,Market Competitiveness
EMP0060,43,HR,HR Generalist,163,29,54395.38,0,57.1,MonthlyHours,Salary,Market Competitiveness
EMP0061,8,Engineering,Staff Engineer,165,5,104444.66,0,27.7,LastPromotion,MonthlyHours,Role Overload
EMP0062,6,Finance,VP of Finance,187,2,177247.94,0,44.7,Tenure,Market Competitiveness,LastPromotion
EMP0063,18,Engineering,Staff Engineer,164,11,104328.66,0,29.2,Role Overload,Market Competitiveness,MonthlyHours
EMP0064,4,Sales,Account Executive,209,3,66422.99,0,70.1,LastPromotion,MonthlyHours,Market Competitiveness
EMP0065,11,Operations,Operations Manager,142,8,104489.07,0,39.8,Tenure,Role Overload,MonthlyHours
EMP0066,7,HR,HR Generalist,136,3,77923.15,1,46.8,Tenure,Salary,Role Overload
EMP0067,25,HR,Recruiter,186,1,65589.36,0,45.7,Market Competitiveness,Salary,Tenure
EMP0068,45,Operations,Operations Manager,183,11,99593.47,0,31.9,LastPromotion,Tenure,MonthlyHours
EMP0069,28,Marketing,Marketing Specialist,171,9,65360.89,0,35.9,Tenure,MonthlyHours,Market Competitiveness
EMP0070,42,Engineering,Staff Engineer,181,23,119244.08,0,54.4,Market Competitiveness,MonthlyHours,LastPromotion
EMP0071,170,Sales,VP of Sales,166,0,191878.45,0,27.6,Tenure,Salary,LastPromotion
EMP0072,63,Marketing,Growth Hacker,165,13,64645.83,0,48.2,Tenure,Salary,Market Competitiveness
EMP0073,23,HR,VP of HR,189,14,180424.04,0,31.6,Market Competitiveness,Tenure,MonthlyHours
EMP0074,102,Finance,Financial Analyst,151,51,72232.71,0,66.4,Role Overload,Salary,Tenure
EMP0075,45,Engineering,Software Engineer,166,3,65956.91,0,43.9,LastPromotion,Market Competitiveness,Role Overload
EMP0076,18,Sales,Sales Manager,207,14,126891.81,0,50.7,MonthlyHours,Role Overload,Salary
EMP0077,31,Finance,Finance Manager,184,19,102263.91,1,55.7,Tenure,LastPromotion,MonthlyHours
EMP0078,6,Operations,Operations Specialist,169,3,66602.96,0,35.6,MonthlyHours,Salary,Tenure
EMP0079,31,Operations,Operations Specialist,153,28,52918.92,1,73.9,LastPromotion,Salary,Role Overload
EMP0080,8,Operations,Operations Manager,166,5,115753.52,0,49.5,MonthlyHours,Salary,LastPromotion
EMP0081,1,Marketing,Marketing Specialist,158,0,65047.08,1,23.5,LastPromotion,Tenure,Role Overload
EMP0082,10,Engineering,Engineering Manager,157,7,118105.28,0,38.5,Salary,MonthlyHours,LastPromotion
EMP0083,9,Finance,Financial Analyst,175,0,76909.97,0,25.2,Role Overload,Salary,Tenure
EMP0084,33,Engineering,Staff Engineer,174,18,108975.48,0,39.8,LastPromotion,MonthlyHours,Salary
EMP0085,13,Finance,Financial Analyst,177,5,62341.36,0,73.2,LastPromotion,Salary,Tenure
EMP0086,106,Sales,Sales Manager,152,45,116063.14,0,47.2,Market Competitiveness,Role Overload,Tenure
EMP0087,10,Engineering,Software Engineer,184,7,52915.04,0,43.7,LastPromotion,Salary,Role Overload
EMP0088,11,Operations,Director of Operations,184,10,207385.45,1,44.4,LastPromotion,Tenure,MonthlyHours
EMP0089,37,Operations,Director of Operations,184,18,180812.91,0,44.7,LastPromotion,Market Competitiveness,Role Overload
EMP0090,63,Finance,Financial Analyst,169,19,67476.17,0,39.0,Tenure,LastPromotion,Role Overload
EMP0091,133,Finance,VP of Finance,168,29,174120.18,1,42.6,Tenure,Role Overload,Market Competitiveness
EMP0092,44,Engineering,Engineering Manager,153,21,128397.21,1,35.3,MonthlyHours,LastPromotion,Market Competitiveness
EMP0093,63,Sales,Sales Manager,194,40,105962.21,0,76.3,Tenure,Market Competitiveness,MonthlyHours
EMP0094,6,Operations,Operations Manager,198,0,114770.95,0,75.7,LastPromotion,MonthlyHours,Role Overload
EMP0095,16,HR,VP of HR,176,12,167250.69,0,37.8,Role Overload,Salary,Market Competitiveness
EMP0096,24,Finance,Financial Analyst,181,4,63545.14,0,56.8,Salary,Tenure,Market Competitiveness
EMP0097,33,HR,HR Manager,191,8,98005.51,0,53.0,LastPromotion,Market Competitiveness,Salary
EMP0098,3,Finance,Finance Manager,188,0,100472.75,1,34.1,Market Competitiveness,Role Overload,MonthlyHours
EMP0099,39,Sales,Sales Representative,186,24,75294.19,0,44.6,Market Competitiveness,Role Overload,LastPromotion
EMP0100,265,Operations,Director of Operations,155,6,142376.22,0,66.1,Tenure,Market Competitiveness,Salary
EMP0101,50,Sales,Account Executive,172,41,68047.31,0,48.4,Market Competitiveness,Salary,Tenure
EMP0102,28,Finance,Accountant,142,6,58828.13,0,42.2,MonthlyHours,LastPromotion,Salary
EMP0103,76,Sales,Account Executive,157,33,50595.54,1,31.3,Market Competitiveness,Salary,MonthlyHours
EMP0104,2,HR,VP of HR,212,1,208885.84,0,53.5,MonthlyHours,Salary,Role Overload
EMP0105,23,Engineering,Staff Engineer,185,17,104344.31,0,35.5,LastPromotion,Market Competitiveness,MonthlyHours
EMP0106,41,Engineering,Software Engineer,188,23,63087.24,0,52.9,Market Competitiveness,Salary,MonthlyHours
EMP0107,38,Marketing,Marketing Specialist,178,9,51314.47,0,79.6,Role Overload,Salary,MonthlyHours
EMP0108,3,HR,Recruiter,168,1,63753.22,1,43.3,Role Overload,Salary,Tenure
EMP0109,2,Sales,Sales Manager,140,0,100180.6,1,31.2,MonthlyHours,Market Competitiveness,Role Overload
EMP0110,48,Engineering,Software Engineer,159,37,57273.11,0,46.5,MonthlyHours,Salary,Tenure
EMP0111,3,Sales,VP of Sales,173,1,181468.54,0,51.9,Market Competitiveness,Role Overload,LastPromotion
EMP0112,58,HR,VP of HR,187,47,189585.41,0,59.2,Tenure,Market Competitiveness,MonthlyHours
EMP0113,7,HR,VP of HR,168,5,203609.09,0,31.7,LastPromotion,Market Competitiveness,MonthlyHours
EMP0114,15,Sales,Account Executive,159,1,67752.16,0,41.5,Tenure,LastPromotion,Role Overload
EMP0115,67,Engineering,Engineering Manager,156,36,99100.39,1,36.0,Tenure,Role Overload,MonthlyHours
EMP0116,3,Engineering,Engineering Manager,146,1,97987.78,1,49.7,Salary,Tenure,MonthlyHours
EMP0117,18,Marketing,Marketing Specialist,191,10,69132.27,0,55.4,Role Overload,MonthlyHours,LastPromotion
EMP0118,7,Sales,Sales Representative,183,3,73518.52,0,49.9,Salary,Tenure,Market Competitiveness
EMP0119,2,HR,VP of HR,180,0,184696.82,0,42.4,Salary,Market Competitiveness,LastPromotion
EMP0120,10,Operations,Operations Manager,155,7,101369.83,0,54.4,Salary,Tenure,MonthlyHours
EMP0121,52,HR,HR Generalist,159,23,75783.74,0,43.2,Tenure,Role Overload,LastPromotion
EMP0122,42,Engineering,Senior Engineer,153,21,97459.14,0,36.8,Market Competitiveness,Salary,LastPromotion
EMP0123,19,HR,VP of HR,192,5,203547.31,0,67.4,Market Competitiveness,Salary,LastPromotion
EMP0124,9,HR,HR Generalist,191,1,59140.92,0,68.4,MonthlyHours,LastPromotion,Salary
EMP0125,16,Sales,VP of Sales,183,14,154010.52,0,30.2,Salary,LastPromotion,Role Overload
EMP0126,100,HR,Recruiter,174,49,76185.65,1,48.5,Role Overload,Tenure,MonthlyHours
EMP0127,29,Finance,VP of Finance,194,2,142852.79,0,64.6,Tenure,Role Overload,LastPromotion
EMP0128,24,Marketing,Marketing Specialist,150,13,59433.08,0,65.5,Tenure,Market Competitiveness,Salary
EMP0129,10,Operations,Director of Operations,157,2,155439.28,0,45.6,MonthlyHours,Role Overload,Salary
EMP0130,68,Operations,Operations Specialist,194,19,64135.66,0,82.6,Tenure,Role Overload,Salary
EMP0131,33,Operations,Operations Manager,182,11,110353.89,0,51.3,Market Competitiveness,LastPromotion,Salary
EMP0132,34,Marketing,VP of Marketing,153,1,152668.39,1,54.4,Market Competitiveness,MonthlyHours,LastPromotion
EMP0133,33,Sales,Sales Manager,201,5,121084.93,0,68.8,Role Overload,Market Competitiveness,Tenure
EMP0134,33,Engineering,Engineering Manager,152,30,104442.02,0,34.5,LastPromotion,MonthlyHours,Role Overload
EMP0135,21,HR,Recruiter,183,0,57070.78,0,41.1,Salary,Market Competitiveness,Role Overload
EMP0136,24,Sales,VP of Sales,179,14,200778.99,0,44.3,Tenure,MonthlyHours,Market Competitiveness
EMP0137,10,Engineering,Staff Engineer,176,2,113087.96,1,35.2,LastPromotion,Salary,MonthlyHours
EMP0138,19,Marketing,Growth Hacker,203,1,59047.66,1,72.9,Tenure,Salary,Role Overload
EMP0139,6,HR,Recruiter,174,1,55273.77,0,56.2,LastPromotion,Tenure,Salary
EMP0140,66,Operations,Operations Specialist,176,49,56836.12,0,73.6,Tenure,Salary,Market Competitiveness
EMP0141,34,Marketing,Marketing Specialist,186,27,54460.05,0,73.2,MonthlyHours,Salary,LastPromotion
EMP0142,4,Sales,Sales Representative,164,1,61315.93,0,51.7,Tenure,Salary,LastPromotion
EMP0143,14,Sales,Sales Representative,169,13,65245.69,0,49.5,Role Overload,Market Competitiveness,MonthlyHours
EMP0144,18,Sales,Sales Manager,150,16,112776.78,0,37.0,Tenure,Role Overload,Salary
EMP0145,23,Operations,Operations Manager,188,15,128886.69,1,36.8,MonthlyHours,Market Competitiveness,LastPromotion
EMP0146,28,Sales,Sales Manager,194,5,124875.03,0,65.6,Salary,LastPromotion,Market Competitiveness
EMP0147,112,Sales,VP of Sales,156,3,205410.52,0,55.3,MonthlyHours,Market Competitiveness,Tenure
EMP0148,96,HR,HR Manager,210,41,119413.35,0,84.8,Tenure,Market Competitiveness,Salary
EMP0149,5,HR,HR Manager,178,0,117692.49,0,43.9,MonthlyHours,Tenure,Salary
EMP0150,17,HR,Recruiter,158,12,66845.13,0,40.7,MonthlyHours,Role Overload,Salary
EMP0151,17,Operations,Operations Manager,176,16,104474.82,0,42.7,Tenure,Market Competitiveness,Role Overload
EMP0152,53,Engineering,Senior Engineer,170,4,85040.43,0,28.7,Tenure,LastPromotion,Role Overload
EMP0153,14,HR,VP of HR,163,10,156236.3,0,33.6,MonthlyHours,LastPromotion,Market Competitiveness
EMP0154,43,Finance,Finance Manager,152,38,123980.67,0,20.9,Tenure,Role Overload,Salary
EMP0155,54,Operations,Director of Operations,186,35,153430.71,0,26.9,Tenure,LastPromotion,Role Overload
EMP0156,40,Marketing,Growth Hacker,176,7,74642.21,0,34.0,MonthlyHours,Role Overload,Salary
EMP0157,2,HR,HR Generalist,151,0,70458.21,0,26.7,Role Overload,MonthlyHours,Tenure
EMP0158,51,Sales,Sales Manager,169,29,113014.84,0,28.1,Tenure,Salary,MonthlyHours
EMP0159,5,HR,Recruiter,186,0,73576.93,0,47.6,Tenure,Role Overload,MonthlyHours
EMP0160,63,Engineering,Software Engineer,184,13,53294.17,0,64.6,Tenure,Salary,LastPromotion
EMP0161,30,Finance,Accountant,161,22,76386.84,1,24.0,LastPromotion,Tenure,Role Overload
EMP0162,69,HR,VP of HR,175,34,187201.27,0,39.0,Tenure,Salary,Role Overload
EMP0163,15,HR,Recruiter,184,1,53710.69,1,56.2,Role Overload,Salary,Market Competitiveness
EMP0164,26,Sales,VP of Sales,158,20,148523.33,0,36.9,Market Competitiveness,Salary,Role Overload
EMP0165,5,Marketing,VP of Marketing,183,3,170765.82,0,41.4,Tenure,LastPromotion,Salary
EMP0166,6,Marketing,Marketing Manager,163,2,125170.14,0,39.4,Salary,LastPromotion,Role Overload
EMP0167,14,Engineering,Engineering Manager,178,11,119722.07,0,33.7,LastPromotion,Salary,Market Competitiveness
EMP0168,68,Marketing,VP of Marketing,187,34,165743.15,0,46.7,Tenure,LastPromotion,Salary
EMP0169,20,HR,HR Manager,168,14,118285.93,0,39.8,MonthlyHours,Salary,LastPromotion
EMP0170,135,Operations,Operations Specialist,159,59,68090.52,0,54.7,Tenure,MonthlyHours,LastPromotion
EMP0171,24,Marketing,Growth Hacker,153,5,60987.02,1,38.9,MonthlyHours,Salary,Role Overload
EMP0172,42,Engineering,Software Engineer,150,9,76048.93,0,35.9,Tenure,Salary,Market Competitiveness
EMP0173,37,Finance,Financial Analyst,164,23,74708.86,0,41.7,Market Competitiveness,Salary,Role Overload
EMP0174,4,Sales,VP of Sales,168,3,147375.73,0,41.8,MonthlyHours,Tenure,Salary
EMP0175,16,HR,VP of HR,184,11,164838.9,0,51.6,Tenure,LastPromotion,MonthlyHours
EMP0176,13,Marketing,Marketing Specialist,183,1,68685.81,0,53.1,Role Overload,MonthlyHours,Tenure
EMP0177,24,Engineering,Senior Engineer,169,3,88784.66,1,46.9,LastPromotion,Salary,MonthlyHours
EMP0178,5,Marketing,Growth Hacker,182,0,60420.68,0,52.9,Market Competitiveness,Salary,Role Overload
EMP0179,95,Marketing,Growth Hacker,173,48,68082.7,0,75.4,Tenure,MonthlyHours,Role Overload
EMP0180,51,Operations,Operations Specialist,192,39,65618.77,0,73.6,Tenure,Role Overload,Salary
EMP0181,7,Sales,Sales Representative,179,2,77023.63,0,33.5,Market Competitiveness,Tenure,MonthlyHours
EMP0182,26,Sales,Sales Representative,182,6,66160.84,1,22.4,MonthlyHours,LastPromotion,Tenure
EMP0183,173,Sales,Sales Manager,170,41,121302.41,0,46.5,LastPromotion,Tenure,Salary
EMP0184,30,Sales,Sales Representative,152,18,73575.17,0,28.9,LastPromotion,Tenure,Market Competitiveness
EMP0185,55,Marketing,VP of Marketing,167,37,168883.53,0,51.4,Tenure,MonthlyHours,LastPromotion
EMP0186,18,Marketing,Marketing Specialist,188,13,70255.33,0,37.4,Tenure,MonthlyHours,Market Competitiveness
EMP0187,59,Operations,Operations Manager,185,48,120459.63,0,49.5,Tenure,MonthlyHours,Market Competitiveness
EMP0188,63,Sales,Sales Manager,139,29,108127.71,0,43.7,Tenure,Market Competitiveness,MonthlyHours
EMP0189,231,Finance,Finance Manager,176,16,120502.13,0,45.8,Salary,Tenure,Role Overload
EMP0190,8,Operations,Operations Specialist,152,4,69607.05,0,28.3,LastPromotion,MonthlyHours,Tenure
EMP0191,102,Sales,Sales Manager,167,50,110076.57,0,39.1,Tenure,MonthlyHours,Salary
EMP0192,6,Sales,VP of Sales,177,1,203657.31,0,36.2,Role Overload,MonthlyHours,Market Competitiveness
EMP0193,19,Marketing,VP of Marketing,173,11,143121.64,0,48.1,Tenure,Market Competitiveness,Role Overload
EMP0194,22,HR,HR Manager,166,19,119787.98,0,39.9,Market Competitiveness,MonthlyHours,Tenure
EMP0195,10,HR,HR Manager,179,7,117406.73,1,56.9,MonthlyHours,Tenure,Role Overload
EMP0196,141,Sales,Account Executive,180,36,65829.25,0,33.0,Tenure,MonthlyHours,Market Competitiveness
EMP0197,6,Engineering,Software Engineer,162,5,65714.24,0,31.9,MonthlyHours,Tenure,LastPromotion
EMP0198,45,Engineering,Staff Engineer,161,5,128876.75,0,40.9,MonthlyHours,LastPromotion,Tenure
EMP0199,72,Operations,Operations Manager,198,11,97490.92,0,57.4,Tenure,Market Competitiveness,Role Overload
EMP0200,25,Finance,Finance Manager,186,3,125270.06,0,36.4,MonthlyHours,Tenure,Salary
EMP0201,30,Sales,Sales Representative,179,1,51825.73,0,70.9,Role Overload,Salary,MonthlyHours
EMP0202,63,Marketing,Marketing Manager,193,50,102824.37,0,69.3,Tenure,MonthlyHours,Role Overload
EMP0203,8,Engineering,Staff Engineer,174,3,122835.96,0,49.6,Tenure,Salary,LastPromotion
EMP0204,26,Finance,VP of Finance,167,7,202579.28,0,40.9,Tenure,Market Competitiveness,Salary
EMP0205,70,HR,HR Generalist,179,54,77079.55,0,49.6,MonthlyHours,LastPromotion,Tenure
EMP0206,77,Marketing,VP of Marketing,156,26,188080.27,0,37.4,Tenure,MonthlyHours,Salary
EMP0207,48,HR,HR Generalist,179,37,65142.23,0,37.0,Market Competitiveness,Role Overload,Salary
EMP0208,14,Marketing,VP of Marketing,185,11,163464.56,0,34.3,Tenure,MonthlyHours,Salary
EMP0209,20,Engineering,Software Engineer,177,17,70967.14,0,44.2,LastPromotion,Salary,MonthlyHours
EMP0210,2,Finance,Finance Manager,166,0,122453.09,0,43.0,MonthlyHours,Salary,Role Overload
EMP0211,73,Finance,VP of Finance,165,20,142323.25,0,27.9,Role Overload,MonthlyHours,Tenure
EMP0212,3,Engineering,Staff Engineer,178,1,121829.29,0,47.5,Tenure,Market Competitiveness,Role Overload
EMP0213,18,HR,VP of HR,170,13,173534.9,0,29.9,Tenure,LastPromotion,MonthlyHours
EMP0214,130,Engineering,Staff Engineer,182,27,95720.26,1,48.8,Tenure,Market Competitiveness,Role Overload
EMP0215,75,Marketing,Marketing Manager,179,35,98861.38,0,33.5,Tenure,Role Overload,Salary
EMP0216,10,Sales,Sales Manager,183,3,130089.58,1,55.3,Salary,Market Competitiveness,MonthlyHours
EMP0217,57,Sales,Account Executive,175,45,73959.49,0,50.3,Tenure,Salary,MonthlyHours
EMP0218,4,Engineering,Software Engineer,177,0,51811.23,1,61.4,MonthlyHours,Salary,Market Competitiveness
EMP0219,81,Engineering,Staff Engineer,205,50,112809.84,0,63.9,Tenure,Salary,Role Overload
EMP0220,18,Marketing,VP of Marketing,206,1,159009.81,0,58.2,Role Overload,Salary,MonthlyHours
EMP0221,11,HR,HR Generalist,167,9,75406.64,0,17.9,Market Competitiveness,MonthlyHours,LastPromotion
EMP0222,8,Engineering,Staff Engineer,151,7,118634.7,0,47.6,Role Overload,LastPromotion,MonthlyHours
EMP0223,15,Marketing,Marketing Specialist,178,13,61110.31,0,68.4,Salary,MonthlyHours,Role Overload
EMP0224,5,Engineering,Software Engineer,175,0,50830.71,0,33.4,Salary,LastPromotion,Tenure
EMP0225,19,HR,Recruiter,146,7,68786.4,0,24.2,MonthlyHours,LastPromotion,Salary
EMP0226,47,Marketing,Growth Hacker,186,46,74404.74,0,45.4,Market Competitiveness,Role Overload,Salary
EMP0227,20,Finance,Finance Manager,172,18,109190.85,1,40.8,MonthlyHours,Market Competitiveness,LastPromotion
EMP0228,1,Finance,Accountant,184,0,67152.06,1,42.3,Role Overload,Market Competitiveness,Salary
EMP0229,28,HR,HR Manager,148,0,98375.7,0,33.5,LastPromotion,MonthlyHours,Tenure
EMP0230,62,Engineering,Staff Engineer,171,42,112197.24,0,48.5,Tenure,MonthlyHours,LastPromotion
EMP0231,58,Marketing,VP of Marketing,178,14,193154.57,0,42.6,LastPromotion,Role Overload,Tenure
EMP0232,42,Marketing,VP of Marketing,157,36,185201.84,0,35.9,Salary,Role Overload,LastPromotion
EMP0233,37,Operations,Operations Manager,165,10,107448.7,0,37.9,MonthlyHours,Tenure,Market Competitiveness
EMP0234,6,Marketing,Marketing Specialist,166,2,64893.56,0,54.9,Role Overload,Salary,LastPromotion
EMP0235,19,Finance,Financial Analyst,161,9,75202.33,0,35.6,Market Competitiveness,Role Overload,MonthlyHours
EMP0236,190,HR,VP of HR,161,58,207279.48,0,55.9,Tenure,MonthlyHours,Market Competitiveness
EMP0237,29,Engineering,Software Engineer,183,18,59973.2,0,60.0,LastPromotion,Salary,Tenure
EMP0238,12,HR,HR Manager,174,2,101609.68,0,44.9,LastPromotion,Salary,Market Competitiveness
EMP0239,19,Finance,VP of Finance,190,18,154091.85,0,59.6,MonthlyHours,Salary,Market Competitiveness
EMP0240,6,HR,HR Manager,198,5,116335.47,1,75.6,Salary,LastPromotion,Tenure
EMP0241,76,Marketing,Marketing Specialist,179,43,71129.39,0,54.7,Role Overload,Tenure,MonthlyHours
EMP0242,21,HR,VP of HR,185,18,180409.53,1,41.9,LastPromotion,Tenure,Role Overload
EMP0243,113,Marketing,Marketing Manager,171,51,95126.71,0,53.5,Tenure,Market Competitiveness,Salary
EMP0244,26,Finance,Accountant,183,15,71352.7,1,41.9,Tenure,LastPromotion,Salary
EMP0245,38,Operations,Operations Manager,166,34,103428.2,1,50.1,Role Overload,Tenure,LastPromotion
EMP0246,2,HR,HR Manager,192,0,100714.01,0,45.6,Salary,MonthlyHours,Tenure
EMP0247,44,Engineering,Engineering Manager,170,33,98105.97,0,31.3,Tenure,Salary,LastPromotion
EMP0248,107,Marketing,Marketing Specialist,145,39,53162.09,1,72.1,Tenure,Salary,Role Overload
EMP0249,13,Sales,VP of Sales,162,7,160476.06,0,30.6,Salary,LastPromotion,Tenure
EMP0250,37,Engineering,Software Engineer,174,18,68138.89,0,42.8,Market Competitiveness,MonthlyHours,LastPromotion
EMP0251,27,Marketing,VP of Marketing,150,20,196277.1,0,37.8,Tenure,Salary,Market Competitiveness
EMP0252,7,Operations,Director of Operations,159,0,162231.08,0,49.4,Tenure,MonthlyHours,LastPromotion
EMP0253,82,HR,HR Generalist,159,5,56911.07,0,79.4,Salary,Market Competitiveness,Tenure
EMP0254,30,Finance,Finance Manager,177,17,130674.89,0,50.6,Salary,Role Overload,Market Competitiveness
EMP0255,25,Operations,Director of Operations,197,23,187309.34,0,46.7,Salary,LastPromotion,Tenure
EMP0256,52,Engineering,Engineering Manager,175,29,105758.72,0,42.0,Tenure,Role Overload,Salary
EMP0257,114,Sales,Account Executive,131,46,53107.37,0,70.2,Tenure,Salary,Market Competitiveness
EMP0258,29,Sales,Account Executive,198,8,68405.9,0,53.8,Salary,MonthlyHours,Role Overload
EMP0259,13,Sales,Sales Representative,179,1,70638.7,1,31.0,Tenure,MonthlyHours,Salary
